Transaction_Id,Transaction_Date,Store_Id,Product_id,Price,Qty,Total_Sales,Cust_Id
2,8/26/2021,4,5,12,3,36,232
3,8/26/2021,4,10,100,3,300,207
4,8/26/2021,4,5,12,3,36,243
5,8/26/2021,4,3,10,2,20,212
6,8/26/2021,4,12,30,1,30,206
7,8/26/2021,4,9,50,5,250,233
8,8/26/2021,4,9,50,4,200,207
9,8/26/2021,4,2,29,1,29,239
10,8/26/2021,4,6,34,3,102,210
11,8/26/2021,4,6,34,5,170,232
12,8/26/2021,4,11,120,3,360,249
13,8/26/2021,4,9,50,5,250,209
14,8/26/2021,4,1,5,3,15,201
15,8/26/2021,4,4,50,2,100,206
16,8/26/2021,4,8,30,1,30,205
17,8/26/2021,4,9,50,5,250,216
18,8/26/2021,4,1,5,3,15,236
19,8/26/2021,4,5,12,3,36,214
20,8/26/2021,4,6,34,5,170,231
21,8/26/2021,4,4,50,1,50,215
22,8/26/2021,4,2,29,5,145,247
23,8/26/2021,4,12,30,5,150,237
24,8/26/2021,4,7,70,5,350,242
25,8/26/2021,4,6,34,1,34,244
26,8/26/2021,4,11,120,3,360,205
27,8/26/2021,4,2,29,3,87,244
28,8/26/2021,4,4,50,4,200,207
29,8/26/2021,4,5,12,2,24,246
30,8/26/2021,4,11,120,2,240,203
31,8/26/2021,4,1,5,2,10,210
32,8/26/2021,4,1,5,1,5,203
33,8/26/2021,4,9,50,5,250,206
34,8/26/2021,4,8,30,2,60,218
35,8/26/2021,4,5,12,4,48,238
36,8/26/2021,4,1,5,2,10,244
37,8/26/2021,4,6,34,1,34,218
38,8/26/2021,4,11,120,4,480,221
39,8/26/2021,4,12,30,1,30,220
40,8/26/2021,4,3,10,4,40,242
41,8/26/2021,4,2,29,5,145,211
42,8/26/2021,4,2,29,5,145,207
43,8/26/2021,4,8,30,4,120,247
44,8/26/2021,4,6,34,1,34,226
45,8/26/2021,4,1,5,4,20,213
46,8/26/2021,4,10,100,5,500,207
47,8/26/2021,4,3,10,5,50,221
48,8/26/2021,4,5,12,3,36,210
49,8/26/2021,4,12,30,1,30,229
50,8/26/2021,4,6,34,4,136,244
51,8/26/2021,4,2,29,3,87,224
52,8/26/2021,4,5,12,3,36,224
53,8/26/2021,4,6,34,1,34,241
54,8/26/2021,4,1,5,1,5,221
55,8/26/2021,4,8,30,5,150,245
56,8/26/2021,4,11,120,1,120,236
57,8/26/2021,4,12,30,1,30,220
58,8/26/2021,4,6,34,1,34,235
59,8/26/2021,4,1,5,3,15,241
60,8/26/2021,4,7,70,2,140,237
61,8/26/2021,4,2,29,4,116,246
62,8/26/2021,4,3,10,4,40,212
63,8/26/2021,4,6,34,4,136,226
64,8/26/2021,4,7,70,4,280,234
65,8/26/2021,4,7,70,2,140,235
66,8/26/2021,4,12,30,4,120,227
67,8/26/2021,4,12,30,2,60,201
68,8/26/2021,4,8,30,3,90,224
69,8/26/2021,4,1,5,2,10,245
70,8/26/2021,4,9,50,1,50,223
71,8/26/2021,4,4,50,1,50,212
72,8/26/2021,4,8,30,1,30,242
73,8/26/2021,4,12,30,4,120,205
74,8/26/2021,4,3,10,1,10,217
75,8/26/2021,4,3,10,2,20,243
76,8/26/2021,4,3,10,4,40,247
77,8/26/2021,4,3,10,1,10,201
78,8/26/2021,4,5,12,5,60,203
79,8/26/2021,4,12,30,1,30,217
80,8/26/2021,4,4,50,3,150,245
81,8/26/2021,4,11,120,2,240,244
82,8/26/2021,4,1,5,1,5,222
83,8/26/2021,4,1,5,3,15,232
84,8/26/2021,4,12,30,1,30,231
85,8/26/2021,4,2,29,2,58,216
86,8/26/2021,4,1,5,1,5,223
87,8/26/2021,4,2,29,2,58,222
88,8/26/2021,4,1,5,1,5,202
89,8/26/2021,4,12,30,2,60,211
90,8/26/2021,4,6,34,5,170,229
91,8/26/2021,4,3,10,4,40,205
92,8/26/2021,4,2,29,3,87,237
93,8/26/2021,4,7,70,1,70,234
94,8/26/2021,4,1,5,4,20,223
95,8/26/2021,4,7,70,5,350,220
96,8/26/2021,4,6,34,1,34,238
97,8/26/2021,4,1,5,4,20,209
98,8/26/2021,4,2,29,3,87,249
99,8/26/2021,4,10,100,2,200,246
100,8/26/2021,4,1,5,4,20,244
101,8/26/2021,4,7,70,2,140,213
102,8/26/2021,4,2,29,3,87,206
103,8/26/2021,4,4,50,1,50,225
104,8/26/2021,4,10,100,1,100,245
105,8/26/2021,4,7,70,3,210,212
106,8/26/2021,4,9,50,2,100,202
107,8/26/2021,4,1,5,1,5,227
108,8/26/2021,4,3,10,3,30,207
109,8/26/2021,4,6,34,5,170,208
110,8/26/2021,4,10,100,4,400,244
111,8/26/2021,4,11,120,2,240,208
112,8/26/2021,4,10,100,5,500,237
113,8/26/2021,4,9,50,2,100,218
114,8/26/2021,4,1,5,1,5,238
115,8/26/2021,4,2,29,4,116,211
116,8/26/2021,4,5,12,4,48,224
117,8/26/2021,4,3,10,2,20,238
118,8/26/2021,4,7,70,1,70,247
119,8/26/2021,4,9,50,5,250,220
120,8/26/2021,4,6,34,4,136,247
121,8/26/2021,4,8,30,3,90,229
122,8/26/2021,4,3,10,5,50,233
123,8/26/2021,4,12,30,5,150,233
124,8/26/2021,4,11,120,2,240,210
125,8/26/2021,4,1,5,5,25,243
126,8/26/2021,4,11,120,5,600,224
127,8/26/2021,4,5,12,3,36,222
128,8/26/2021,4,9,50,4,200,238
129,8/26/2021,4,12,30,4,120,239
130,8/26/2021,4,9,50,2,100,237
131,8/26/2021,4,11,120,1,120,228
132,8/26/2021,4,9,50,1,50,211
133,8/26/2021,4,11,120,4,480,220
134,8/26/2021,4,3,10,1,10,250
135,8/26/2021,4,2,29,5,145,217
136,8/26/2021,4,10,100,4,400,241
137,8/26/2021,4,7,70,3,210,230
138,8/26/2021,4,12,30,3,90,216
139,8/26/2021,4,11,120,3,360,246
140,8/26/2021,4,12,30,5,150,228
141,8/26/2021,4,5,12,3,36,207
142,8/26/2021,4,4,50,2,100,207
143,8/26/2021,4,3,10,1,10,212
144,8/26/2021,4,3,10,3,30,225
145,8/26/2021,4,12,30,4,120,228
146,8/26/2021,4,4,50,1,50,235
147,8/26/2021,4,11,120,1,120,227
148,8/26/2021,4,10,100,1,100,239
149,8/26/2021,4,8,30,3,90,207
150,8/26/2021,4,8,30,5,150,237
151,8/26/2021,4,9,50,3,150,246
152,8/26/2021,4,8,30,3,90,220
153,8/26/2021,4,5,12,1,12,206
154,8/26/2021,4,9,50,4,200,248
155,8/26/2021,4,4,50,3,150,218
156,8/26/2021,4,3,10,4,40,236
157,8/26/2021,4,3,10,5,50,206
158,8/26/2021,4,2,29,5,145,206
159,8/26/2021,4,7,70,5,350,237
160,8/26/2021,4,4,50,5,250,250
161,8/26/2021,4,9,50,3,150,245
162,8/26/2021,4,11,120,4,480,247
163,8/26/2021,4,3,10,5,50,219
164,8/26/2021,4,1,5,3,15,215
165,8/26/2021,4,6,34,4,136,233
166,8/26/2021,4,5,12,2,24,239
167,8/26/2021,4,9,50,5,250,218
168,8/26/2021,4,9,50,3,150,237
169,8/26/2021,4,6,34,1,34,228
170,8/26/2021,4,8,30,3,90,215
171,8/26/2021,4,1,5,1,5,202
172,8/26/2021,4,5,12,3,36,209
173,8/26/2021,4,3,10,4,40,244
174,8/26/2021,4,10,100,4,400,230
175,8/26/2021,4,10,100,2,200,205
176,8/26/2021,4,5,12,2,24,221
177,8/26/2021,4,8,30,4,120,236
178,8/26/2021,4,3,10,2,20,247
179,8/26/2021,4,12,30,3,90,201
180,8/26/2021,4,1,5,4,20,205
181,8/26/2021,4,10,100,2,200,239
182,8/26/2021,4,10,100,4,400,218
183,8/26/2021,4,3,10,5,50,226
184,8/26/2021,4,4,50,1,50,228
185,8/26/2021,4,11,120,3,360,232
186,8/26/2021,4,11,120,4,480,247
187,8/26/2021,4,11,120,2,240,210
188,8/26/2021,4,6,34,2,68,233
189,8/26/2021,4,8,30,2,60,204
190,8/26/2021,4,8,30,4,120,245
191,8/26/2021,4,3,10,1,10,231
192,8/26/2021,4,1,5,5,25,216
193,8/26/2021,4,12,30,3,90,203
194,8/26/2021,4,2,29,3,87,226
195,8/26/2021,4,2,29,4,116,244
196,8/26/2021,4,4,50,2,100,205
197,8/26/2021,4,7,70,1,70,230
198,8/26/2021,4,5,12,4,48,241
199,8/26/2021,4,1,5,1,5,226
200,8/26/2021,4,12,30,1,30,229
201,8/26/2021,4,1,5,5,25,249
202,8/26/2021,4,1,5,4,20,228
203,8/26/2021,4,8,30,2,60,214
204,8/26/2021,4,9,50,2,100,227
205,8/26/2021,4,8,30,1,30,209
206,8/26/2021,4,8,30,2,60,204
207,8/26/2021,4,7,70,4,280,231
208,8/26/2021,4,3,10,2,20,210
209,8/26/2021,4,1,5,5,25,241
210,8/26/2021,4,2,29,2,58,225
211,8/26/2021,4,3,10,3,30,227
212,8/26/2021,4,12,30,3,90,229
213,8/26/2021,4,11,120,3,360,235
214,8/26/2021,4,9,50,3,150,207
215,8/26/2021,4,10,100,2,200,207
216,8/26/2021,4,8,30,2,60,244
217,8/26/2021,4,8,30,5,150,213
218,8/26/2021,4,9,50,5,250,204
219,8/26/2021,4,10,100,3,300,227
220,8/26/2021,4,12,30,4,120,221
221,8/26/2021,4,2,29,4,116,250
222,8/26/2021,4,7,70,1,70,215
223,8/26/2021,4,12,30,5,150,240
224,8/26/2021,4,10,100,5,500,217
225,8/26/2021,4,11,120,4,480,201
226,8/26/2021,4,5,12,2,24,250
227,8/26/2021,4,12,30,4,120,237
228,8/26/2021,4,8,30,4,120,241
229,8/26/2021,4,2,29,5,145,211
230,8/26/2021,4,10,100,1,100,207
231,8/26/2021,4,1,5,1,5,214
232,8/26/2021,4,12,30,2,60,241
