Transaction_Id,Transaction_Date,Store_Id,Product_id,Price,Qty,Total_Sales,Cust_Id
2,8/26/2021,7,5,12,2,24,344
3,8/26/2021,7,3,10,3,30,319
4,8/26/2021,7,4,50,2,100,338
5,8/26/2021,7,2,29,4,116,350
6,8/26/2021,7,4,50,1,50,313
7,8/26/2021,7,1,5,2,10,316
8,8/26/2021,7,8,30,4,120,328
9,8/26/2021,7,9,50,2,100,309
10,8/26/2021,7,1,5,5,25,344
11,8/26/2021,7,10,100,3,300,308
12,8/26/2021,7,9,50,2,100,314
13,8/26/2021,7,4,50,4,200,322
14,8/26/2021,7,4,50,5,250,321
15,8/26/2021,7,10,100,1,100,350
16,8/26/2021,7,3,10,1,10,330
17,8/26/2021,7,5,12,5,60,314
18,8/26/2021,7,10,100,3,300,316
19,8/26/2021,7,10,100,5,500,326
20,8/26/2021,7,1,5,2,10,324
21,8/26/2021,7,7,70,5,350,342
22,8/26/2021,7,12,30,4,120,304
23,8/26/2021,7,4,50,4,200,313
24,8/26/2021,7,10,100,1,100,311
25,8/26/2021,7,6,34,3,102,340
26,8/26/2021,7,1,5,3,15,303
27,8/26/2021,7,7,70,2,140,315
28,8/26/2021,7,2,29,2,58,313
29,8/26/2021,7,12,30,5,150,326
30,8/26/2021,7,4,50,2,100,335
31,8/26/2021,7,1,5,1,5,329
32,8/26/2021,7,6,34,5,170,340
33,8/26/2021,7,9,50,5,250,308
34,8/26/2021,7,10,100,3,300,324
35,8/26/2021,7,8,30,3,90,322
36,8/26/2021,7,5,12,4,48,309
37,8/26/2021,7,11,120,2,240,319
38,8/26/2021,7,11,120,1,120,335
39,8/26/2021,7,1,5,5,25,303
40,8/26/2021,7,8,30,4,120,345
41,8/26/2021,7,1,5,5,25,321
42,8/26/2021,7,10,100,1,100,305
43,8/26/2021,7,5,12,2,24,328
44,8/26/2021,7,12,30,3,90,301
45,8/26/2021,7,5,12,4,48,315
46,8/26/2021,7,5,12,3,36,308
47,8/26/2021,7,11,120,5,600,335
48,8/26/2021,7,8,30,1,30,304
49,8/26/2021,7,8,30,4,120,320
50,8/26/2021,7,2,29,5,145,320
51,8/26/2021,7,10,100,1,100,345
52,8/26/2021,7,9,50,5,250,334
53,8/26/2021,7,4,50,3,150,310
54,8/26/2021,7,7,70,2,140,302
55,8/26/2021,7,2,29,4,116,347
56,8/26/2021,7,5,12,4,48,320
57,8/26/2021,7,10,100,4,400,303
58,8/26/2021,7,5,12,2,24,301
59,8/26/2021,7,8,30,1,30,342
60,8/26/2021,7,6,34,4,136,343
61,8/26/2021,7,3,10,4,40,323
62,8/26/2021,7,7,70,3,210,313
63,8/26/2021,7,7,70,2,140,322
64,8/26/2021,7,3,10,4,40,333
65,8/26/2021,7,7,70,2,140,347
66,8/26/2021,7,3,10,1,10,329
67,8/26/2021,7,8,30,4,120,331
68,8/26/2021,7,6,34,5,170,337
69,8/26/2021,7,10,100,3,300,347
70,8/26/2021,7,4,50,2,100,320
71,8/26/2021,7,2,29,3,87,316
72,8/26/2021,7,5,12,5,60,342
73,8/26/2021,7,5,12,3,36,335
74,8/26/2021,7,8,30,3,90,330
75,8/26/2021,7,4,50,3,150,347
76,8/26/2021,7,4,50,5,250,347
77,8/26/2021,7,1,5,3,15,336
78,8/26/2021,7,6,34,5,170,317
79,8/26/2021,7,10,100,4,400,303
80,8/26/2021,7,9,50,4,200,301
81,8/26/2021,7,10,100,5,500,320
82,8/26/2021,7,2,29,1,29,348
83,8/26/2021,7,4,50,2,100,346
84,8/26/2021,7,4,50,5,250,314
85,8/26/2021,7,6,34,3,102,337
86,8/26/2021,7,1,5,2,10,337
87,8/26/2021,7,2,29,1,29,341
88,8/26/2021,7,9,50,5,250,310
89,8/26/2021,7,2,29,3,87,337
90,8/26/2021,7,8,30,5,150,309
91,8/26/2021,7,8,30,1,30,322
92,8/26/2021,7,1,5,4,20,335
93,8/26/2021,7,5,12,2,24,320
94,8/26/2021,7,4,50,2,100,329
95,8/26/2021,7,7,70,2,140,311
96,8/26/2021,7,7,70,2,140,343
97,8/26/2021,7,1,5,2,10,308
98,8/26/2021,7,11,120,2,240,304
99,8/26/2021,7,5,12,4,48,348
100,8/26/2021,7,4,50,5,250,343
101,8/26/2021,7,2,29,3,87,310
102,8/26/2021,7,3,10,3,30,335
103,8/26/2021,7,9,50,4,200,350
104,8/26/2021,7,2,29,2,58,337
105,8/26/2021,7,10,100,2,200,310
106,8/26/2021,7,11,120,2,240,308
107,8/26/2021,7,7,70,5,350,303
108,8/26/2021,7,11,120,5,600,341
109,8/26/2021,7,1,5,2,10,320
110,8/26/2021,7,12,30,3,90,317
111,8/26/2021,7,1,5,4,20,338
112,8/26/2021,7,2,29,3,87,345
113,8/26/2021,7,3,10,4,40,350
114,8/26/2021,7,11,120,1,120,337
115,8/26/2021,7,1,5,4,20,308
