Transaction_Id,Transaction_Date,Store_Id,Product_id,Price,Qty,Total_Sales,Cust_Id
2,8/26/2021,2,9,50,5,250,84
3,8/26/2021,2,10,100,1,100,60
4,8/26/2021,2,10,100,4,400,51
5,8/26/2021,2,9,50,1,50,85
6,8/26/2021,2,10,100,5,500,85
7,8/26/2021,2,5,12,2,24,97
8,8/26/2021,2,9,50,2,100,93
9,8/26/2021,2,1,5,1,5,73
10,8/26/2021,2,2,29,4,116,81
11,8/26/2021,2,9,50,5,250,85
12,8/26/2021,2,7,70,4,280,59
13,8/26/2021,2,2,29,2,58,74
14,8/26/2021,2,9,50,1,50,93
15,8/26/2021,2,6,34,5,170,53
16,8/26/2021,2,5,12,4,48,77
17,8/26/2021,2,5,12,2,24,72
18,8/26/2021,2,10,100,3,300,96
19,8/26/2021,2,10,100,2,200,97
20,8/26/2021,2,4,50,2,100,58
21,8/26/2021,2,1,5,5,25,78
22,8/26/2021,2,11,120,3,360,70
23,8/26/2021,2,7,70,3,210,54
24,8/26/2021,2,11,120,2,240,69
25,8/26/2021,2,7,70,4,280,61
26,8/26/2021,2,10,100,4,400,74
27,8/26/2021,2,7,70,4,280,100
28,8/26/2021,2,12,30,3,90,79
29,8/26/2021,2,7,70,1,70,52
30,8/26/2021,2,11,120,3,360,84
31,8/26/2021,2,1,5,5,25,93
32,8/26/2021,2,3,10,2,20,92
33,8/26/2021,2,2,29,4,116,79
34,8/26/2021,2,2,29,3,87,66
35,8/26/2021,2,11,120,1,120,95
36,8/26/2021,2,4,50,5,250,80
37,8/26/2021,2,8,30,2,60,62
38,8/26/2021,2,8,30,3,90,99
39,8/26/2021,2,10,100,3,300,100
40,8/26/2021,2,7,70,3,210,73
41,8/26/2021,2,5,12,5,60,87
42,8/26/2021,2,11,120,3,360,59
43,8/26/2021,2,6,34,1,34,65
44,8/26/2021,2,12,30,4,120,70
45,8/26/2021,2,5,12,5,60,95
46,8/26/2021,2,6,34,5,170,84
47,8/26/2021,2,2,29,5,145,71
48,8/26/2021,2,5,12,2,24,51
49,8/26/2021,2,10,100,2,200,75
50,8/26/2021,2,3,10,5,50,72
51,8/26/2021,2,11,120,1,120,61
52,8/26/2021,2,1,5,5,25,76
53,8/26/2021,2,9,50,4,200,53
54,8/26/2021,2,11,120,4,480,97
55,8/26/2021,2,4,50,3,150,56
56,8/26/2021,2,5,12,4,48,77
57,8/26/2021,2,11,120,1,120,92
58,8/26/2021,2,5,12,1,12,92
59,8/26/2021,2,5,12,2,24,97
60,8/26/2021,2,7,70,2,140,81
61,8/26/2021,2,11,120,2,240,79
62,8/26/2021,2,3,10,4,40,61
63,8/26/2021,2,4,50,2,100,66
64,8/26/2021,2,10,100,3,300,100
65,8/26/2021,2,5,12,4,48,51
66,8/26/2021,2,3,10,5,50,80
67,8/26/2021,2,9,50,1,50,65
68,8/26/2021,2,11,120,5,600,52
69,8/26/2021,2,11,120,4,480,95
70,8/26/2021,2,6,34,2,68,91
71,8/26/2021,2,4,50,4,200,76
72,8/26/2021,2,7,70,3,210,94
73,8/26/2021,2,1,5,3,15,73
74,8/26/2021,2,5,12,2,24,57
75,8/26/2021,2,2,29,2,58,77
76,8/26/2021,2,3,10,3,30,97
77,8/26/2021,2,10,100,3,300,94
78,8/26/2021,2,6,34,1,34,53
79,8/26/2021,2,2,29,5,145,67
80,8/26/2021,2,12,30,2,60,63
81,8/26/2021,2,8,30,4,120,99
82,8/26/2021,2,12,30,3,90,62
83,8/26/2021,2,5,12,3,36,66
84,8/26/2021,2,4,50,4,200,59
85,8/26/2021,2,9,50,1,50,94
86,8/26/2021,2,1,5,2,10,97
87,8/26/2021,2,11,120,1,120,99
88,8/26/2021,2,3,10,1,10,72
89,8/26/2021,2,8,30,5,150,85
90,8/26/2021,2,2,29,2,58,62
91,8/26/2021,2,6,34,3,102,55
92,8/26/2021,2,6,34,3,102,63
93,8/26/2021,2,6,34,2,68,91
94,8/26/2021,2,10,100,1,100,82
95,8/26/2021,2,3,10,5,50,59
96,8/26/2021,2,1,5,3,15,99
97,8/26/2021,2,5,12,3,36,64
98,8/26/2021,2,4,50,2,100,82
99,8/26/2021,2,9,50,1,50,82
100,8/26/2021,2,1,5,4,20,60
101,8/26/2021,2,12,30,1,30,81
102,8/26/2021,2,9,50,2,100,64
103,8/26/2021,2,9,50,5,250,73
104,8/26/2021,2,10,100,2,200,91
105,8/26/2021,2,12,30,3,90,69
106,8/26/2021,2,12,30,2,60,51
107,8/26/2021,2,8,30,3,90,87
108,8/26/2021,2,6,34,4,136,79
109,8/26/2021,2,1,5,5,25,94
110,8/26/2021,2,4,50,2,100,54
111,8/26/2021,2,11,120,4,480,56
112,8/26/2021,2,9,50,3,150,55
113,8/26/2021,2,11,120,1,120,81
114,8/26/2021,2,9,50,5,250,64
115,8/26/2021,2,7,70,4,280,69
116,8/26/2021,2,7,70,2,140,83
117,8/26/2021,2,10,100,3,300,78
118,8/26/2021,2,10,100,5,500,82
119,8/26/2021,2,2,29,5,145,90
120,8/26/2021,2,11,120,3,360,83
121,8/26/2021,2,12,30,3,90,68
122,8/26/2021,2,2,29,1,29,63
123,8/26/2021,2,4,50,1,50,57
124,8/26/2021,2,11,120,1,120,75
125,8/26/2021,2,11,120,4,480,95
126,8/26/2021,2,1,5,2,10,85
127,8/26/2021,2,11,120,2,240,97
128,8/26/2021,2,11,120,4,480,66
129,8/26/2021,2,3,10,4,40,75
130,8/26/2021,2,4,50,2,100,63
131,8/26/2021,2,10,100,5,500,92
132,8/26/2021,2,8,30,3,90,53
