Transaction_Id,Transaction_Date,Store_Id,Product_id,Price,Qty,Total_Sales,Cust_Id
2,8/26/2021,6,7,70,1,70,155
3,8/26/2021,6,10,100,5,500,193
4,8/26/2021,6,4,50,4,200,157
5,8/26/2021,6,2,29,4,116,184
6,8/26/2021,6,12,30,3,90,180
7,8/26/2021,6,5,12,4,48,196
8,8/26/2021,6,2,29,1,29,181
9,8/26/2021,6,11,120,4,480,160
10,8/26/2021,6,9,50,5,250,158
11,8/26/2021,6,7,70,5,350,182
12,8/26/2021,6,8,30,1,30,195
13,8/26/2021,6,3,10,5,50,168
14,8/26/2021,6,8,30,4,120,197
15,8/26/2021,6,5,12,4,48,200
16,8/26/2021,6,11,120,3,360,177
17,8/26/2021,6,1,5,3,15,197
18,8/26/2021,6,2,29,5,145,188
19,8/26/2021,6,2,29,3,87,162
20,8/26/2021,6,10,100,4,400,190
21,8/26/2021,6,5,12,5,60,171
22,8/26/2021,6,12,30,3,90,195
23,8/26/2021,6,1,5,5,25,195
24,8/26/2021,6,12,30,3,90,183
25,8/26/2021,6,5,12,3,36,177
26,8/26/2021,6,3,10,1,10,193
27,8/26/2021,6,3,10,2,20,171
28,8/26/2021,6,4,50,2,100,163
29,8/26/2021,6,1,5,3,15,184
30,8/26/2021,6,7,70,2,140,153
31,8/26/2021,6,5,12,1,12,190
32,8/26/2021,6,4,50,3,150,161
33,8/26/2021,6,10,100,1,100,174
34,8/26/2021,6,6,34,1,34,189
35,8/26/2021,6,12,30,3,90,195
36,8/26/2021,6,12,30,2,60,152
37,8/26/2021,6,9,50,5,250,152
38,8/26/2021,6,9,50,5,250,167
39,8/26/2021,6,10,100,4,400,157
40,8/26/2021,6,5,12,4,48,191
41,8/26/2021,6,9,50,4,200,166
42,8/26/2021,6,8,30,5,150,178
43,8/26/2021,6,9,50,5,250,190
44,8/26/2021,6,1,5,4,20,163
45,8/26/2021,6,4,50,2,100,170
46,8/26/2021,6,8,30,5,150,166
47,8/26/2021,6,1,5,2,10,200
48,8/26/2021,6,4,50,4,200,196
49,8/26/2021,6,6,34,4,136,169
50,8/26/2021,6,7,70,4,280,166
51,8/26/2021,6,9,50,5,250,152
52,8/26/2021,6,10,100,5,500,156
53,8/26/2021,6,4,50,5,250,172
54,8/26/2021,6,5,12,2,24,198
55,8/26/2021,6,8,30,4,120,156
56,8/26/2021,6,3,10,5,50,162
57,8/26/2021,6,10,100,4,400,167
58,8/26/2021,6,3,10,3,30,157
59,8/26/2021,6,10,100,4,400,189
60,8/26/2021,6,10,100,2,200,193
61,8/26/2021,6,6,34,1,34,166
62,8/26/2021,6,1,5,1,5,181
63,8/26/2021,6,2,29,4,116,175
64,8/26/2021,6,7,70,4,280,165
65,8/26/2021,6,8,30,1,30,163
66,8/26/2021,6,12,30,2,60,166
67,8/26/2021,6,4,50,5,250,155
68,8/26/2021,6,3,10,3,30,159
69,8/26/2021,6,9,50,2,100,169
70,8/26/2021,6,3,10,2,20,170
71,8/26/2021,6,3,10,3,30,193
72,8/26/2021,6,11,120,1,120,180
73,8/26/2021,6,3,10,4,40,153
74,8/26/2021,6,10,100,5,500,179
75,8/26/2021,6,9,50,1,50,174
76,8/26/2021,6,9,50,4,200,173
77,8/26/2021,6,3,10,2,20,162
78,8/26/2021,6,4,50,5,250,196
79,8/26/2021,6,3,10,3,30,160
80,8/26/2021,6,12,30,5,150,162
81,8/26/2021,6,6,34,4,136,185
82,8/26/2021,6,3,10,1,10,168
83,8/26/2021,6,10,100,2,200,168
84,8/26/2021,6,7,70,1,70,176
85,8/26/2021,6,7,70,4,280,158
86,8/26/2021,6,3,10,2,20,155
87,8/26/2021,6,3,10,4,40,185
88,8/26/2021,6,3,10,1,10,161
89,8/26/2021,6,8,30,1,30,179
90,8/26/2021,6,3,10,4,40,177
91,8/26/2021,6,9,50,2,100,188
92,8/26/2021,6,8,30,1,30,158
93,8/26/2021,6,9,50,4,200,171
94,8/26/2021,6,3,10,5,50,193
95,8/26/2021,6,2,29,1,29,200
96,8/26/2021,6,10,100,2,200,172
97,8/26/2021,6,8,30,5,150,185
98,8/26/2021,6,7,70,1,70,167
99,8/26/2021,6,1,5,4,20,166
100,8/26/2021,6,11,120,1,120,165
101,8/26/2021,6,10,100,2,200,179
102,8/26/2021,6,7,70,3,210,193
103,8/26/2021,6,7,70,2,140,177
104,8/26/2021,6,1,5,4,20,197
105,8/26/2021,6,7,70,3,210,193
106,8/26/2021,6,3,10,1,10,191
107,8/26/2021,6,3,10,1,10,178
108,8/26/2021,6,10,100,3,300,168
109,8/26/2021,6,4,50,5,250,194
110,8/26/2021,6,3,10,2,20,177
111,8/26/2021,6,3,10,4,40,178
112,8/26/2021,6,5,12,4,48,179
113,8/26/2021,6,6,34,1,34,171
114,8/26/2021,6,4,50,5,250,181
115,8/26/2021,6,6,34,1,34,198
