Transaction_Id,Transaction_Date,Store_Id,Product_id,Price,Qty,Total_Sales,Cust_Id
2,8/26/2021,10,5,12,4,48,493
3,8/26/2021,10,6,34,4,136,476
4,8/26/2021,10,8,30,4,120,493
5,8/26/2021,10,4,50,4,200,499
6,8/26/2021,10,9,50,2,100,471
7,8/26/2021,10,12,30,5,150,468
8,8/26/2021,10,1,5,1,5,466
9,8/26/2021,10,9,50,5,250,453
10,8/26/2021,10,10,100,3,300,485
11,8/26/2021,10,1,5,1,5,484
12,8/26/2021,10,2,29,2,58,467
13,8/26/2021,10,4,50,5,250,464
14,8/26/2021,10,12,30,2,60,468
15,8/26/2021,10,6,34,3,102,484
16,8/26/2021,10,11,120,3,360,481
17,8/26/2021,10,7,70,5,350,471
18,8/26/2021,10,2,29,3,87,496
19,8/26/2021,10,1,5,3,15,485
20,8/26/2021,10,12,30,2,60,479
21,8/26/2021,10,11,120,4,480,490
22,8/26/2021,10,4,50,2,100,456
23,8/26/2021,10,2,29,5,145,480
24,8/26/2021,10,3,10,3,30,477
25,8/26/2021,10,1,5,1,5,500
26,8/26/2021,10,5,12,5,60,470
27,8/26/2021,10,10,100,2,200,454
28,8/26/2021,10,7,70,1,70,496
29,8/26/2021,10,7,70,1,70,456
30,8/26/2021,10,12,30,1,30,492
31,8/26/2021,10,10,100,1,100,455
32,8/26/2021,10,10,100,1,100,451
33,8/26/2021,10,7,70,3,210,462
34,8/26/2021,10,2,29,1,29,473
35,8/26/2021,10,1,5,2,10,487
36,8/26/2021,10,5,12,4,48,489
37,8/26/2021,10,4,50,2,100,481
38,8/26/2021,10,7,70,4,280,499
39,8/26/2021,10,10,100,3,300,485
40,8/26/2021,10,7,70,4,280,498
41,8/26/2021,10,12,30,3,90,488
42,8/26/2021,10,11,120,2,240,485
43,8/26/2021,10,12,30,5,150,458
44,8/26/2021,10,9,50,1,50,482
45,8/26/2021,10,6,34,3,102,472
46,8/26/2021,10,11,120,2,240,470
47,8/26/2021,10,3,10,2,20,462
48,8/26/2021,10,2,29,1,29,498
49,8/26/2021,10,10,100,4,400,470
50,8/26/2021,10,3,10,2,20,481
51,8/26/2021,10,6,34,4,136,478
52,8/26/2021,10,3,10,2,20,487
53,8/26/2021,10,10,100,2,200,499
54,8/26/2021,10,9,50,5,250,495
55,8/26/2021,10,11,120,1,120,488
56,8/26/2021,10,7,70,4,280,480
57,8/26/2021,10,10,100,2,200,495
58,8/26/2021,10,10,100,2,200,464
59,8/26/2021,10,9,50,1,50,498
60,8/26/2021,10,12,30,3,90,468
61,8/26/2021,10,8,30,5,150,479
62,8/26/2021,10,1,5,4,20,478
63,8/26/2021,10,3,10,4,40,476
64,8/26/2021,10,6,34,3,102,477
65,8/26/2021,10,4,50,3,150,458
66,8/26/2021,10,10,100,1,100,485
67,8/26/2021,10,8,30,3,90,500
68,8/26/2021,10,12,30,3,90,495
69,8/26/2021,10,7,70,1,70,492
70,8/26/2021,10,11,120,5,600,487
71,8/26/2021,10,9,50,2,100,478
