Transaction_Id,Transaction_Date,Store_Id,Product_id,Price,Qty,Total_Sales,Cust_Id
2,8/26/2021,9,5,12,3,36,448
3,8/26/2021,9,8,30,2,60,405
4,8/26/2021,9,8,30,4,120,442
5,8/26/2021,9,6,34,5,170,402
6,8/26/2021,9,3,10,2,20,424
7,8/26/2021,9,8,30,1,30,429
8,8/26/2021,9,3,10,5,50,409
9,8/26/2021,9,8,30,5,150,428
10,8/26/2021,9,3,10,1,10,440
11,8/26/2021,9,11,120,2,240,405
12,8/26/2021,9,11,120,1,120,423
13,8/26/2021,9,11,120,1,120,412
14,8/26/2021,9,4,50,5,250,439
15,8/26/2021,9,9,50,5,250,413
16,8/26/2021,9,7,70,4,280,417
17,8/26/2021,9,6,34,4,136,440
18,8/26/2021,9,9,50,5,250,425
19,8/26/2021,9,10,100,1,100,406
20,8/26/2021,9,4,50,2,100,422
21,8/26/2021,9,2,29,3,87,426
22,8/26/2021,9,8,30,3,90,430
23,8/26/2021,9,3,10,1,10,429
24,8/26/2021,9,6,34,1,34,414
25,8/26/2021,9,6,34,2,68,408
26,8/26/2021,9,9,50,4,200,416
27,8/26/2021,9,12,30,1,30,407
28,8/26/2021,9,7,70,1,70,429
29,8/26/2021,9,9,50,3,150,422
30,8/26/2021,9,6,34,4,136,406
31,8/26/2021,9,1,5,5,25,423
32,8/26/2021,9,8,30,2,60,425
33,8/26/2021,9,11,120,5,600,423
34,8/26/2021,9,6,34,5,170,437
35,8/26/2021,9,11,120,1,120,407
36,8/26/2021,9,4,50,3,150,417
37,8/26/2021,9,1,5,3,15,439
38,8/26/2021,9,3,10,2,20,440
39,8/26/2021,9,4,50,5,250,448
40,8/26/2021,9,3,10,2,20,411
41,8/26/2021,9,9,50,4,200,405
42,8/26/2021,9,6,34,1,34,429
43,8/26/2021,9,1,5,2,10,414
44,8/26/2021,9,3,10,1,10,408
45,8/26/2021,9,12,30,3,90,416
46,8/26/2021,9,9,50,1,50,444
47,8/26/2021,9,1,5,1,5,404
48,8/26/2021,9,10,100,5,500,427
49,8/26/2021,9,6,34,3,102,404
50,8/26/2021,9,7,70,2,140,410
51,8/26/2021,9,3,10,4,40,403
52,8/26/2021,9,3,10,5,50,428
53,8/26/2021,9,12,30,3,90,440
54,8/26/2021,9,7,70,3,210,421
55,8/26/2021,9,9,50,3,150,418
56,8/26/2021,9,7,70,4,280,431
57,8/26/2021,9,5,12,5,60,449
58,8/26/2021,9,3,10,3,30,446
59,8/26/2021,9,11,120,1,120,410
60,8/26/2021,9,4,50,5,250,440
61,8/26/2021,9,7,70,2,140,416
62,8/26/2021,9,7,70,2,140,444
63,8/26/2021,9,8,30,4,120,408
64,8/26/2021,9,4,50,2,100,433
65,8/26/2021,9,7,70,3,210,414
66,8/26/2021,9,1,5,2,10,422
67,8/26/2021,9,4,50,2,100,405
68,8/26/2021,9,1,5,1,5,411
69,8/26/2021,9,1,5,5,25,423
70,8/26/2021,9,8,30,1,30,438
71,8/26/2021,9,9,50,2,100,429
72,8/26/2021,9,11,120,2,240,429
73,8/26/2021,9,6,34,3,102,444
74,8/26/2021,9,12,30,3,90,436
75,8/26/2021,9,9,50,5,250,421
76,8/26/2021,9,7,70,2,140,421
77,8/26/2021,9,11,120,2,240,449
78,8/26/2021,9,9,50,4,200,403
79,8/26/2021,9,8,30,2,60,422
80,8/26/2021,9,10,100,3,300,421
81,8/26/2021,9,4,50,5,250,409
82,8/26/2021,9,11,120,2,240,403
83,8/26/2021,9,6,34,4,136,447
84,8/26/2021,9,4,50,4,200,449
85,8/26/2021,9,2,29,1,29,431
86,8/26/2021,9,5,12,1,12,427
87,8/26/2021,9,11,120,3,360,419
88,8/26/2021,9,8,30,5,150,416
89,8/26/2021,9,1,5,1,5,438
90,8/26/2021,9,5,12,3,36,401
91,8/26/2021,9,11,120,4,480,415
92,8/26/2021,9,10,100,3,300,449
93,8/26/2021,9,4,50,3,150,413
94,8/26/2021,9,6,34,4,136,437
95,8/26/2021,9,3,10,4,40,428
96,8/26/2021,9,4,50,5,250,436
97,8/26/2021,9,8,30,3,90,445
98,8/26/2021,9,9,50,4,200,402
99,8/26/2021,9,3,10,4,40,423
100,8/26/2021,9,1,5,4,20,449
101,8/26/2021,9,3,10,2,20,415
102,8/26/2021,9,11,120,5,600,433
103,8/26/2021,9,8,30,3,90,405
104,8/26/2021,9,7,70,5,350,450
105,8/26/2021,9,4,50,1,50,408
106,8/26/2021,9,12,30,4,120,437
107,8/26/2021,9,8,30,4,120,429
108,8/26/2021,9,12,30,5,150,419
109,8/26/2021,9,9,50,3,150,414
110,8/26/2021,9,11,120,1,120,413
111,8/26/2021,9,7,70,5,350,417
112,8/26/2021,9,12,30,5,150,413
113,8/26/2021,9,8,30,3,90,442
114,8/26/2021,9,8,30,4,120,423
115,8/26/2021,9,9,50,1,50,446
116,8/26/2021,9,2,29,1,29,418
117,8/26/2021,9,10,100,2,200,420
118,8/26/2021,9,6,34,5,170,434
119,8/26/2021,9,8,30,4,120,445
120,8/26/2021,9,11,120,4,480,434
121,8/26/2021,9,11,120,2,240,432
122,8/26/2021,9,7,70,4,280,428
123,8/26/2021,9,7,70,2,140,417
124,8/26/2021,9,5,12,5,60,405
125,8/26/2021,9,5,12,1,12,444
126,8/26/2021,9,2,29,1,29,425
127,8/26/2021,9,3,10,4,40,424
128,8/26/2021,9,4,50,1,50,404
129,8/26/2021,9,3,10,4,40,423
130,8/26/2021,9,8,30,4,120,425
131,8/26/2021,9,10,100,3,300,433
132,8/26/2021,9,2,29,2,58,422
133,8/26/2021,9,10,100,3,300,429
134,8/26/2021,9,9,50,4,200,435
135,8/26/2021,9,8,30,5,150,450
136,8/26/2021,9,10,100,2,200,411
137,8/26/2021,9,11,120,1,120,419
138,8/26/2021,9,1,5,3,15,423
139,8/26/2021,9,11,120,1,120,405
140,8/26/2021,9,7,70,4,280,434
141,8/26/2021,9,2,29,2,58,404
142,8/26/2021,9,6,34,3,102,435
143,8/26/2021,9,5,12,1,12,406
144,8/26/2021,9,7,70,1,70,430
145,8/26/2021,9,4,50,2,100,426
146,8/26/2021,9,1,5,1,5,439
147,8/26/2021,9,8,30,3,90,412
148,8/26/2021,9,2,29,4,116,401
149,8/26/2021,9,1,5,4,20,439
150,8/26/2021,9,10,100,5,500,404
151,8/26/2021,9,1,5,1,5,431
152,8/26/2021,9,6,34,5,170,427
153,8/26/2021,9,7,70,1,70,426
154,8/26/2021,9,7,70,2,140,421
155,8/26/2021,9,12,30,4,120,432
156,8/26/2021,9,11,120,5,600,441
157,8/26/2021,9,6,34,1,34,412
158,8/26/2021,9,8,30,5,150,415
159,8/26/2021,9,6,34,1,34,450
160,8/26/2021,9,2,29,3,87,432
161,8/26/2021,9,4,50,4,200,419
162,8/26/2021,9,8,30,4,120,407
163,8/26/2021,9,6,34,2,68,424
164,8/26/2021,9,11,120,2,240,441
165,8/26/2021,9,6,34,5,170,411
166,8/26/2021,9,1,5,5,25,442
167,8/26/2021,9,5,12,4,48,416
168,8/26/2021,9,10,100,3,300,428
169,8/26/2021,9,11,120,5,600,402
170,8/26/2021,9,10,100,5,500,409
171,8/26/2021,9,5,12,1,12,446
172,8/26/2021,9,7,70,5,350,425
173,8/26/2021,9,6,34,4,136,428
174,8/26/2021,9,6,34,5,170,444
175,8/26/2021,9,4,50,1,50,410
176,8/26/2021,9,8,30,5,150,418
177,8/26/2021,9,8,30,1,30,445
178,8/26/2021,9,5,12,5,60,429
179,8/26/2021,9,11,120,3,360,448
180,8/26/2021,9,5,12,1,12,402
181,8/26/2021,9,12,30,1,30,419
182,8/26/2021,9,5,12,1,12,407
183,8/26/2021,9,11,120,1,120,429
184,8/26/2021,9,5,12,2,24,428
185,8/26/2021,9,8,30,3,90,444
186,8/26/2021,9,6,34,1,34,432
187,8/26/2021,9,11,120,1,120,418
188,8/26/2021,9,6,34,4,136,425
189,8/26/2021,9,5,12,1,12,441
190,8/26/2021,9,7,70,4,280,440
191,8/26/2021,9,10,100,5,500,401
192,8/26/2021,9,5,12,3,36,414
193,8/26/2021,9,3,10,3,30,422
194,8/26/2021,9,11,120,5,600,407
195,8/26/2021,9,1,5,3,15,408
196,8/26/2021,9,11,120,5,600,408
197,8/26/2021,9,2,29,2,58,418
198,8/26/2021,9,12,30,3,90,434
199,8/26/2021,9,8,30,2,60,425
200,8/26/2021,9,8,30,1,30,417
201,8/26/2021,9,12,30,1,30,422
202,8/26/2021,9,6,34,5,170,421
203,8/26/2021,9,11,120,4,480,447
204,8/26/2021,9,9,50,3,150,410
205,8/26/2021,9,4,50,2,100,423
206,8/26/2021,9,6,34,4,136,420
207,8/26/2021,9,10,100,3,300,430
208,8/26/2021,9,5,12,5,60,416
209,8/26/2021,9,1,5,1,5,403
210,8/26/2021,9,9,50,3,150,420
211,8/26/2021,9,3,10,2,20,443
212,8/26/2021,9,12,30,2,60,438
213,8/26/2021,9,9,50,2,100,411
214,8/26/2021,9,8,30,4,120,435
215,8/26/2021,9,2,29,4,116,426
216,8/26/2021,9,2,29,4,116,450
217,8/26/2021,9,3,10,3,30,405
218,8/26/2021,9,3,10,5,50,403
219,8/26/2021,9,8,30,2,60,408
220,8/26/2021,9,9,50,2,100,420
221,8/26/2021,9,7,70,1,70,416
222,8/26/2021,9,10,100,2,200,442
223,8/26/2021,9,12,30,3,90,425
224,8/26/2021,9,7,70,4,280,439
225,8/26/2021,9,3,10,5,50,410
226,8/26/2021,9,2,29,5,145,439
227,8/26/2021,9,7,70,4,280,438
228,8/26/2021,9,8,30,1,30,435
229,8/26/2021,9,10,100,3,300,442
230,8/26/2021,9,8,30,2,60,424
231,8/26/2021,9,2,29,1,29,450
232,8/26/2021,9,9,50,4,200,422
233,8/26/2021,9,9,50,5,250,417
234,8/26/2021,9,2,29,1,29,444
235,8/26/2021,9,9,50,3,150,413
236,8/26/2021,9,1,5,3,15,401
237,8/26/2021,9,1,5,4,20,437
238,8/26/2021,9,3,10,5,50,427
239,8/26/2021,9,6,34,5,170,415
240,8/26/2021,9,10,100,5,500,442
241,8/26/2021,9,5,12,4,48,427
242,8/26/2021,9,12,30,4,120,432
243,8/26/2021,9,11,120,5,600,444
244,8/26/2021,9,6,34,5,170,429
245,8/26/2021,9,2,29,4,116,427
246,8/26/2021,9,6,34,3,102,446
247,8/26/2021,9,10,100,1,100,404
